3.5;Octanoic_acid;NR;NR_SWEET_4;-4.7305
4.0;Arginine;NR;NR_SWEET_4;-6.2036
4.0;Arginine;NS;NS_SWEET_2;-0.3949
4.0;Asparagine;NR;NR_SWEET_4;1.6754
4.0;Asparagine;NS;NS_SWEET_2;-0.1416
4.0;Aspartic_acid;DR;DR_SWEET_6;2.2437
4.0;Aspartic_acid;NR;NR_SWEET_4;-1.5949
4.0;Aspartic_acid;NS;NS_SWEET_2;-2.8747
4.0;Beta-alanine;DR;DR_SWEET_3;-2.9212;DR_SWEET_6;-2.627
4.0;Erythritol;NS;NS_SWEET_2;-0.6176
4.0;Fructose;NR;NR_SWEET_4;-6.2539
4.0;Glucose;NS;NS_SWEET_2;0.8011
4.0;Glutamic_acid;NS;NS_SWEET_2;-0.4134
4.0;Glycerol;NR;NR_SWEET_3;-1.5603;NR_SWEET_4;-1.3753
4.0;Glycerol;NS;NS_SWEET_2;2.5443
4.0;Glycerol-3-phosphate;NS;NS_SWEET_2;-1.6628
4.0;Glycine;DR;DR_SWEET_3;2.7271
4.0;Glycine;NR;NR_SWEET_4;-0.5089
4.0;Histidine;NR;NR_SWEET_4;-5.8932
4.0;Isolucine;DR;DR_SWEET_5;0.8073
4.0;Isolucine;NS;NS_SWEET_2;2.13
4.0;Lysine;NR;NR_SWEET_4;-6.0316
4.0;Malic_acid;DR;DR_SWEET_6;0.2452
4.0;Malic_acid;NR;NR_SWEET_4;-3.4673
4.0;Methionine;NR;NR_SWEET_4;-4.1482
4.0;Methionine;NS;NS_SWEET_4;-1.0402;NS_SWEET_5;-1.2761
4.0;myo-Insitol;NS;NS_SWEET_2;7.7665
4.0;Ornithine;NR;NR_SWEET_4;-3.0719
4.0;Ornithine;NS;NS_SWEET_2;-1.7877
4.0;Phosphoric_acid;DR;DR_SWEET_6;3.474
4.0;Phosphoric_acid;NR;NR_SWEET_3;4.6896;NR_SWEET_4;0.9547
4.0;Phosphoric_acid;NS;NS_SWEET_2;-3.2403
4.0;Proline;NR;NR_SWEET_4;-1.3909
4.0;Proline;NS;NS_SWEET_2;6.358
4.0;Putrescine;NS;NS_SWEET_2;-2.3826
